# 
Scope_Frequency	base_freq	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
5000000.0	5000000.0	25577.5	5000000.0	0.07403147839445856	-9.601371598430053	0.20939264157594814	0.09370903131050522	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.08555065994688	0.08825157543633953	0.5	5000000.0	03-06-24 14:59:15.491210
5000000.0	5000000.0	25580.0	5000000.0	0.07355036351042213	-9.65800357342019	0.2080318431878204	0.09507820921483513	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.084198999717714	0.0882653098298819	0.5	5000000.0	03-06-24 14:59:26.342977
5000000.0	5000000.0	25582.5	5000000.0	0.0740937094374319	-9.594073285279642	0.20956865754589518	0.09066906283424579	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.12422713440044	0.0878594829805621	0.5	5000000.0	03-06-24 14:59:35.882102
5000000.0	5000000.0	25585.0	5000000.0	0.07253047907016577	-9.779289122874106	0.2051471743728927	0.09496883270492223	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-18.329949013305868	0.12119998032657187	0.5	5000000.0	03-06-24 14:59:45.352187
5000000.0	5000000.0	25587.5	5000000.0	0.0722810060473287	-9.809216269687802	0.2044415581082079	0.08977365158132931	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.079952776736917	0.08830847015419434	0.5	5000000.0	03-06-24 14:59:54.891204
5000000.0	5000000.0	25590.0	5000000.0	0.07187215996391759	-9.85848610648273	0.20328516675604166	0.09917539604647707	-10.199999999999989	9.549925860214384e-05	9.549925860214384e-05	-10.199999999999989	0.0691011065765751	-20.734882457357685	0.09188738180676095	0.5	5000000.0	03-06-24 15:00:04.429768
5000000.0	5000000.0	25592.5	5000000.0	0.07125542743418771	-9.93334105151835	0.20154078374024037	0.09925670559706298	-10.199999999999989	9.549925860214384e-05	9.549925860214384e-05	-10.199999999999989	0.0691011065765751	-21.103395377978295	0.08807045318474006	0.5	5000000.0	03-06-24 15:00:13.968907
5000000.0	5000000.0	25595.0	5000000.0	0.07095409373016043	-9.970150896502272	0.20068848331816935	0.09385108029561119	-10.199999999999989	9.549925860214384e-05	9.549925860214384e-05	-10.199999999999989	0.0691011065765751	-21.067956243352643	0.0884305218362338	0.5	5000000.0	03-06-24 15:00:23.508062
5000000.0	5000000.0	25597.5	5000000.0	0.06957694568812178	-10.140392842829051	0.19679332044127615	0.09399948896509053	-10.199999999999989	9.549925860214384e-05	9.549925860214384e-05	-10.199999999999989	0.0691011065765751	-21.072615923979257	0.08838309462971035	0.5	5000000.0	03-06-24 15:00:32.977584
5000000.0	5000000.0	25600.0	5000000.0	0.0689667993344156	-10.216898615840616	0.19506756594438857	0.0978347470082496	-10.199999999999989	9.549925860214384e-05	9.549925860214384e-05	-10.199999999999989	0.0691011065765751	-21.052551755488402	0.08858749315768795	0.5	5000000.0	03-06-24 15:00:42.654900
5000000.0	5000000.0	25602.5	5000000.0	0.06918716824287022	-10.189188928229969	0.19569086334251237	0.09056068680207124	-10.599999999999994	8.709635899560819e-05	8.709635899560819e-05	-10.599999999999994	0.06599104446650628	-20.63697523045768	0.09292899458702678	0.5	5000000.0	03-06-24 15:00:52.124759
5000000.0	5000000.0	25605.0	5000000.0	0.06820610802114135	-10.313234673076195	0.1929160060003649	0.09351762673139602	-10.599999999999994	8.709635899560819e-05	8.709635899560819e-05	-10.599999999999994	0.06599104446650628	-20.65218598980302	0.09276639942719044	0.5	5000000.0	03-06-24 15:01:01.669564
5000000.0	5000000.0	25607.5	5000000.0	0.0678900171385903	-10.353581677150537	0.19202196597427254	0.09750882752372289	-10.599999999999994	8.709635899560819e-05	8.709635899560819e-05	-10.599999999999994	0.06599104446650628	-20.66995815440395	0.09257678451376548	0.5	5000000.0	03-06-24 15:01:12.515947
5000000.0	5000000.0	25610.0	5000000.0	0.06642681969685413	-10.542830837121379	0.18788341864120672	0.09731048000684324	-10.599999999999994	8.709635899560819e-05	8.709635899560819e-05	-10.599999999999994	0.06599104446650628	-20.958613615247863	0.08955076892086829	0.5	5000000.0	03-06-24 15:01:22.124090
5000000.0	5000000.0	25612.5	5000000.0	0.06586860377813204	-10.616130888050293	0.18630454559522808	0.08844784610257331	-10.599999999999994	8.709635899560819e-05	8.709635899560819e-05	-10.599999999999994	0.06599104446650628	-20.5900109115725	0.09343281945149959	0.5	5000000.0	03-06-24 15:01:31.663386
5000000.0	5000000.0	25615.0	5000000.0	0.06597901267923445	-10.601583795278131	0.1866168291259195	0.09983474379398506	-10.999999999999986	7.943282347242841e-05	7.943282347242841e-05	-10.999999999999986	0.06302095820932446	-20.534716276836924	0.09402951285983462	0.5	5000000.0	03-06-24 15:01:44.865571
5000000.0	5000000.0	25617.5	5000000.0	0.06527571992050239	-10.69466663697569	0.1846276168104842	0.09557760423655816	-10.999999999999986	7.943282347242841e-05	7.943282347242841e-05	-10.999999999999986	0.06302095820932446	-20.593788262720945	0.09339219588244024	0.5	5000000.0	03-06-24 15:01:55.441470
5000000.0	5000000.0	25620.0	5000000.0	0.06450459073898192	-10.79788756099286	0.18244653411678835	0.09364674731981446	-10.999999999999986	7.943282347242841e-05	7.943282347242841e-05	-10.999999999999986	0.06302095820932446	-20.683954365988377	0.09242772886943872	0.5	5000000.0	03-06-24 15:02:05.049173
