# 
ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.001086926	2679.25	2355.65	1398.5	0.0005694789	1756.45	1421.0	2094.85	0.1	08-12-23 16:34:58.456537
0.001094862	2707.3	2383.0	1428.75	0.0006043986	1769.5	1442.85	2105.75	0.1	08-12-23 16:34:58.656700
0.00107264	2697.3	2376.85	1422.75	0.0005980495	1763.65	1436.75	2104.45	0.1	08-12-23 16:34:58.856427
0.001228192	2781.55	2460.05	1509.35	0.0005901133	1801.1	1455.95	2136.85	0.1	08-12-23 16:34:59.057672
0.001136131	2741.3	2416.15	1446.5	0.0006043986	1784.55	1450.3	2121.2	0.1	08-12-23 16:34:59.258217
0.001123433	2712.4	2383.2	1431.05	0.0006139222	1751.8	1421.55	2087.35	0.1	08-12-23 16:34:59.457626
0.001066291	2702.55	2372.65	1413.7	0.0005218611	1739.05	1395.95	2073.2	0.1	08-12-23 16:34:59.657885
0.001063117	2684.25	2354.1	1389.35	0.0005107503	1735.2	1396.2	2065.05	0.1	08-12-23 16:34:59.858695
0.001045657	2672.45	2349.9	1392.45	0.000502814	1723.85	1403.25	2066.65	0.1	08-12-23 16:35:00.059453
0.001093275	2702.8	2383.35	1423.5	0.0003885312	1742.6	1407.2	2079.3	0.1	08-12-23 16:35:00.260367
0.001117084	2704.9	2379.45	1420.55	0.000594875	1758.75	1420.5	2098.05	0.1	08-12-23 16:35:00.460872
0.001147242	2718.35	2395.15	1432.9	0.0005694789	1774.75	1442.85	2111.7	0.1	08-12-23 16:35:00.659895
0.00115994	2720.95	2402.65	1440.1	0.0005631298	1778.1	1444.1	2117.6	0.1	08-12-23 16:35:00.859769
0.001155178	2713.3	2393.45	1435.6	0.0005901133	1773.1	1444.8	2110.45	0.1	08-12-23 16:35:01.060690
0.001137718	2715.05	2403.25	1437.45	0.0005424955	1766.5	1447.85	2110.85	0.1	08-12-23 16:35:01.260084
0.001167876	2714.3	2392.95	1433.9	0.0005774152	1772.65	1444.9	2121.0	0.1	08-12-23 16:35:01.459533
0.001152003	2721.85	2394.25	1447.4	0.0005678917	1782.2	1445.1	2123.0	0.1	08-12-23 16:35:01.659496
0.001169463	2732.95	2419.5	1458.2	0.000594875	1787.7	1447.45	2123.0	0.1	08-12-23 16:35:01.859037
0.001147242	2714.8	2403.95	1446.0	0.0005583681	1778.6	1440.95	2109.85	0.1	08-12-23 16:35:02.058830
0.001156765	2713.65	2390.05	1438.6	0.000575828	1777.0	1455.45	2113.9	0.1	08-12-23 16:35:02.257734
0.00117105	2717.75	2392.0	1445.35	0.0006012241	1772.85	1443.3	2109.85	0.1	08-12-23 16:35:02.457250
0.001199621	2712.9	2385.5	1449.3	0.0006012241	1782.7	1444.55	2101.15	0.1	08-12-23 16:35:02.656722
0.001153591	2710.7	2371.9	1440.3	0.0006266203	1774.6	1432.65	2103.15	0.1	08-12-23 16:35:02.856647
0.001152003	2713.2	2381.85	1438.35	0.0005726534	1771.75	1430.3	2096.55	0.1	08-12-23 16:35:03.056884
0.001120258	2702.0	2366.0	1420.05	0.0005726534	1764.6	1436.5	2090.15	0.1	08-12-23 16:35:03.256127
0.001198034	2698.0	2371.95	1418.0	0.0005980495	1763.05	1440.3	2093.65	0.1	08-12-23 16:35:03.456278
0.001105973	2701.35	2368.8	1419.5	0.0006059859	1747.95	1415.6	2068.55	0.1	08-12-23 16:35:03.655690
0.001067878	2769.55	2448.6	1496.8	0.0006345566	1783.55	1459.15	2132.85	0.1	08-12-23 16:35:03.855251
0.0009837537	2780.5	2425.15	1456.05	0.0005393209	1759.3	1419.2	2079.4	0.1	08-12-23 16:35:04.055446
0.0009948646	2687.8	2363.0	1428.6	0.0005805897	1768.25	1432.85	2099.15	0.1	08-12-23 16:35:04.254734
0.0009774046	2721.55	2394.45	1441.4	0.0005917005	1762.7	1433.35	2087.75	0.1	08-12-23 16:35:04.454120
0.0009869284	2696.05	2374.3	1424.45	0.0006091605	1767.25	1434.25	2085.25	0.1	08-12-23 16:35:04.653942
0.001001214	2703.65	2368.1	1426.2	0.0005726534	1770.2	1421.35	2090.9	0.1	08-12-23 16:35:04.853817
0.0009805793	2704.65	2361.9	1411.15	0.000502814	1763.45	1429.3	2080.9	0.1	08-12-23 16:35:05.052618
0.0008885181	2677.15	2341.3	1387.65	0.0004123402	1725.15	1403.3	2054.65	0.1	08-12-23 16:35:05.251403
0.000998039	2712.2	2380.0	1439.1	0.0004774178	1752.35	1411.9	2063.45	0.1	08-12-23 16:35:05.452213
0.0007758227	2634.35	2281.1	1328.35	0.0004329745	1731.0	1390.2	2061.2	0.1	08-12-23 16:35:05.651841
0.0008440749	2666.45	2321.7	1384.05	0.0004361491	1735.15	1391.5	2048.55	0.1	08-12-23 16:35:05.852906
0.0005567808	2528.75	2170.05	1223.7	0.0004567835	1728.15	1400.3	2055.3	0.1	08-12-23 16:35:06.050096
0.0007551883	2658.3	2303.7	1356.7	0.000466307	1732.8	1405.9	2071.85	0.1	08-12-23 16:35:06.250638
0.0009948646	2662.55	2338.8	1439.0	0.0004567835	1730.4	1396.35	2057.55	0.1	08-12-23 16:35:06.450090
0.0007916953	2679.85	2337.6	1415.15	0.0004361491	1744.55	1400.45	2066.2	0.1	08-12-23 16:35:06.649857
0.0006028114	2632.7	2256.25	1337.7	0.0004694815	1742.05	1406.75	2067.55	0.1	08-12-23 16:35:06.848811
0.0009218506	2658.95	2304.7	1406.65	0.0003393262	1750.15	1398.65	2083.55	0.1	08-12-23 16:35:07.048165
0.005807437	3144.2	3035.9	2286.45	0.0007123323	1997.4	1678.0	2368.05	0.1	08-12-23 16:35:07.247039
0.001042482	2739.95	2367.45	1421.55	0.0004075784	1751.7	1409.3	2083.7	0.1	08-12-23 16:35:07.447459
0.000832964	2681.7	2314.9	1375.3	0.0003250408	1739.9	1415.3	2077.55	0.1	08-12-23 16:35:07.647375
0.001015499	2718.6	2365.5	1426.05	0.0004155147	1753.65	1418.1	2085.45	0.1	08-12-23 16:35:07.846035
0.001029784	2721.65	2370.0	1424.6	0.0004361491	1750.45	1408.75	2081.95	0.1	08-12-23 16:35:08.045538
0.001366284	2702.1	2334.85	1395.0	0.0002901211	1746.6	1401.4	2071.6	0.1	08-12-23 16:35:08.244736
0.001307555	2729.0	2371.0	1418.8	0.000502814	1744.95	1413.8	2082.4	0.1	08-12-23 16:35:08.445341
0.001296444	2701.4	2351.7	1413.35	0.0004678942	1750.05	1415.0	2071.85	0.1	08-12-23 16:35:08.643034
0.001274222	2719.45	2373.1	1422.9	0.0004885286	1752.4	1418.9	2092.15	0.1	08-12-23 16:35:08.842632
0.001296444	2701.25	2361.45	1405.35	0.0004853541	1746.85	1421.95	2103.2	0.1	08-12-23 16:35:09.042050
0.001332951	2740.25	2387.0	1433.4	0.0004790051	1779.8	1443.45	2102.7	0.1	08-12-23 16:35:09.242150
0.001312317	2714.25	2372.7	1418.55	0.0005282101	1761.85	1430.65	2107.25	0.1	08-12-23 16:35:09.442631
0.001280571	2736.2	2381.3	1430.15	0.0004790051	1763.45	1430.8	2085.95	0.1	08-12-23 16:35:09.641402
0.001323428	2725.45	2373.0	1421.15	0.0005361464	1775.55	1452.25	2110.35	0.1	08-12-23 16:35:09.842282
0.001345649	2729.9	2383.25	1428.95	0.0005075758	1773.55	1443.15	2101.45	0.1	08-12-23 16:35:10.043362
0.01261837	2724.0	2377.4	1434.75	0.0005361464	1775.6	1440.25	2105.25	0.1	08-12-23 16:35:10.244047
0.01259615	2718.2	2369.15	1427.25	0.0005663044	1774.1	1437.7	2105.55	0.1	08-12-23 16:35:10.445629
-0.009290581	2751.3	2408.05	1450.25	0.000459958	1815.2	1474.0	2133.1	0.1	08-12-23 16:35:10.645427
0.001337713	2751.4	2390.1	1437.55	0.0005647172	1782.45	1439.1	2109.05	0.1	08-12-23 16:35:10.846782
0.001069466	2743.05	2376.8	1433.25	0.0003647223	1749.05	1414.65	2071.8	0.1	08-12-23 16:35:11.047046
0.001088513	2735.3	2387.65	1432.35	0.0004044038	1757.3	1420.25	2077.1	0.1	08-12-23 16:35:11.246620
0.001098037	2734.4	2387.85	1436.75	0.0003694841	1749.3	1425.1	2071.6	0.1	08-12-23 16:35:11.448813
0.001099624	4528.85	2393.95	1442.7	0.0003599606	1742.05	1408.45	2083.15	0.1	08-12-23 16:35:11.648928
0.001037721	-3823.9	2370.0	1448.55	0.0004282127	1754.5	1418.3	2081.75	0.1	08-12-23 16:35:11.847731
0.001082164	-3856.8	2382.15	1436.75	0.000380595	1755.2	1426.15	2086.15	0.1	08-12-23 16:35:12.047683
0.001164702	3951.6	2428.1	1468.6	0.0004472599	1798.35	1456.6	2108.7	0.1	08-12-23 16:35:12.248511
0.00107264	2738.4	2394.1	1451.8	0.0003678969	1750.55	1416.65	2082.35	0.1	08-12-23 16:35:12.448194
