# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
2.42920623e-05	0.0	1000000.0	5.0	0.001596436	2880.6	2623.6	1479.95	0.0007789973	1929.35	1482.25	2054.35	0.1	08-12-23 17:30:40.768092
3.1766665e-05	0.0	1000000.0	5.0	0.001648816	2882.0	2611.1	1482.25	0.0007678865	1927.4	1484.6	2055.35	0.1	08-12-23 17:30:41.074334
2.42920623e-05	0.0	1000000.0	5.0	0.001559929	2878.45	2614.9	1485.45	0.000783759	1923.3	1488.4	2061.8	0.1	08-12-23 17:30:41.380734
9.34285693e-06	0.0	1000000.0	5.0	0.001618658	2873.4	2620.45	1497.15	0.0007647119	1923.6	1486.5	2057.05	0.1	08-12-23 17:30:41.587646
2.80293637e-05	0.0	1000000.0	5.0	0.001621832	2880.25	2622.6	1493.45	0.0007472521	1932.1	1488.6	2052.5	0.1	08-12-23 17:30:41.891589
2.0554761e-05	0.0	1000000.0	5.0	0.001645641	2878.75	2613.35	1495.7	0.0007440776	1931.75	1490.85	2063.45	0.1	08-12-23 17:30:42.196487
2.80293637e-05	0.0	1000000.0	5.0	0.001615483	2882.6	2613.45	1490.25	0.0007805845	1930.3	1478.7	2066.95	0.1	08-12-23 17:30:43.640393
1.30801583e-05	0.0	1000000.0	5.0	0.001626594	2877.8	2619.5	1491.5	0.0007726482	1927.3	1492.55	2055.15	0.1	08-12-23 17:30:44.100968
2.80293637e-05	0.0	1000000.0	5.0	0.001620245	2884.05	2616.9	1488.95	0.0007774099	1933.6	1487.6	2057.45	0.1	08-12-23 17:30:44.562564
2.80293637e-05	0.0	1000000.0	5.0	0.001629769	2881.35	2615.85	1490.0	0.000753601	1932.65	1485.0	2048.4	0.1	08-12-23 17:30:44.967124
2.42920623e-05	0.0	1000000.0	5.0	0.001636118	2873.45	2614.8	1485.4	0.0007440776	1924.65	1489.4	2052.7	0.1	08-12-23 17:30:45.276131
2.0554761e-05	0.0	1000000.0	5.0	0.001626594	2872.2	2622.2	1488.05	0.0007329666	1920.8	1486.65	2059.85	0.1	08-12-23 17:30:45.595539
