# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.0001982788	0.1	04-12-23 12:17:51.254659
1.0	0.0	-0.0002047865	0.1	04-12-23 12:17:51.459314
1.0	0.0	-0.0001876442	0.1	04-12-23 12:17:51.625340
1.0	0.0	-0.0001928821	0.1	04-12-23 12:17:51.767102
1.0	0.0	-0.0001802634	0.1	04-12-23 12:17:51.977419
1.0	0.0	-0.0002097071	0.1	04-12-23 12:17:52.176846
1.0	0.0	-0.0001807395	0.1	04-12-23 12:17:52.471386
1.0	0.0	-0.0001855807	0.1	04-12-23 12:17:52.689019
1.0	0.0	-0.000196136	0.1	04-12-23 12:17:52.993549
1.0	0.0	-0.0001939138	0.1	04-12-23 12:17:53.200381
1.0	0.0	-0.0001997074	0.1	04-12-23 12:17:53.405519
1.0	0.0	-0.0001824062	0.1	04-12-23 12:17:53.612483
1.0	0.0	-0.0001870092	0.1	04-12-23 12:17:53.815569
1.0	0.0	-0.0001666923	0.1	04-12-23 12:17:53.952774
1.0	0.0	-0.0001797078	0.1	04-12-23 12:17:54.121653
1.0	0.0	-0.0001839141	0.1	04-12-23 12:17:54.326723
1.0	0.0	-0.0001883584	0.1	04-12-23 12:17:54.531852
1.0	0.0	-0.0001907392	0.1	04-12-23 12:17:54.739821
1.0	0.0	-0.0001857394	0.1	04-12-23 12:17:54.941409
1.0	0.0	-0.0002020088	0.1	04-12-23 12:17:55.146099
1.0	0.0	-0.0002030405	0.1	04-12-23 12:17:55.350216
1.0	0.0	-0.0001816126	0.1	04-12-23 12:17:55.556052
1.0	0.0	-0.0001785174	0.1	04-12-23 12:17:55.760880
1.0	0.0	-0.0001931202	0.1	04-12-23 12:17:55.965912
1.0	0.0	-0.0002020882	0.1	04-12-23 12:17:56.170572
1.0	0.0	-0.0001964535	0.1	04-12-23 12:17:56.477124
1.0	0.0	-0.0001975645	0.1	04-12-23 12:17:56.682283
1.0	0.0	-0.0001903425	0.1	04-12-23 12:17:56.887265
1.0	0.0	-0.0001933583	0.1	04-12-23 12:17:57.091607
1.0	0.0	-0.0001919298	0.1	04-12-23 12:17:57.296514
1.0	0.0	-0.0001932789	0.1	04-12-23 12:17:57.501022
1.0	0.0	-0.0001657399	0.1	04-12-23 12:17:57.649123
