# 
ch1_10V	ch2_1V	time	Delay	a	
1622.933	1695.933	1718887742.8202138	0.2	0	20-06-24 14:49:02.820246
1617.667	1698.333	1718887743.060381	0.2	0	20-06-24 14:49:03.060403
1624.867	1698.133	1718887743.3012242	0.2	0	20-06-24 14:49:03.301258
1624.4	1708.533	1718887743.538162	0.2	0	20-06-24 14:49:03.538180
1615.333	1706.533	1718887743.776583	0.2	0	20-06-24 14:49:03.776606
1627.733	1708.333	1718887744.0158746	0.2	0	20-06-24 14:49:04.015898
1625.2	1709.8	1718887744.2559803	0.2	0	20-06-24 14:49:04.256042
1618.867	1697.133	1718887744.4960425	0.2	0	20-06-24 14:49:04.496060
1621.2	1700.533	1718887744.7372942	0.2	0	20-06-24 14:49:04.737325
1621.933	1700.667	1718887744.974476	0.2	0	20-06-24 14:49:04.974495
1618.533	1705.0	1718887745.2128682	0.2	0	20-06-24 14:49:05.212887
1618.867	1691.267	1718887745.453583	0.2	0	20-06-24 14:49:05.453613
1623.0	1703.2	1718887745.6929605	0.2	0	20-06-24 14:49:05.692979
1625.4	1706.267	1718887745.9670286	0.2	0	20-06-24 14:49:05.967053
1618.6	1698.533	1718887746.204477	0.2	0	20-06-24 14:49:06.204495
1622.667	1699.2	1718887746.4430163	0.2	0	20-06-24 14:49:06.443036
1620.867	1705.533	1718887746.6821415	0.2	0	20-06-24 14:49:06.682176
1621.133	1693.267	1718887746.9215882	0.2	0	20-06-24 14:49:06.921607
1625.267	1701.533	1718887747.1606643	0.2	0	20-06-24 14:49:07.160696
1619.333	1697.267	1718887747.403024	0.2	0	20-06-24 14:49:07.403057
1618.8	1708.0	1718887747.6432047	0.2	0	20-06-24 14:49:07.643222
1618.6	1701.267	1718887747.8833017	0.2	0	20-06-24 14:49:07.883339
1619.2	1701.267	1718887748.1225634	0.2	0	20-06-24 14:49:08.122580
1615.0	1702.333	1718887748.3627646	0.2	0	20-06-24 14:49:08.362809
1621.333	1695.867	1718887748.602812	0.2	0	20-06-24 14:49:08.602831
1620.8	1703.867	1718887748.8426065	0.2	0	20-06-24 14:49:08.842627
1619.4	1699.2	1718887749.0821998	0.2	0	20-06-24 14:49:09.082224
1627.0	1698.267	1718887749.3219955	0.2	0	20-06-24 14:49:09.322034
1627.933	1706.933	1718887749.5620394	0.2	0	20-06-24 14:49:09.562084
