# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1625.604	1645.608	1717767823.9818418	0.25	6698.0	07-06-24 15:43:43.981878
250	1625.456	1643.108	1717767824.2711267	0.25	6699.0	07-06-24 15:43:44.271146
250	1625.244	1643.088	1717767824.56049	0.25	6700.0	07-06-24 15:43:44.560512
250	1626.68	1643.572	1717767824.8500695	0.25	6701.000000000001	07-06-24 15:43:44.850108
250	1627.652	1642.556	1717767825.1385124	0.25	6702.0	07-06-24 15:43:45.138531
250	1626.576	1641.916	1717767825.4258041	0.25	6703.0	07-06-24 15:43:45.425824
250	1626.668	1641.108	1717767825.715738	0.25	6704.0	07-06-24 15:43:45.715776
250	1626.988	1641.028	1717767826.0064645	0.25	6705.0	07-06-24 15:43:46.006490
250	1626.176	1642.464	1717767826.295375	0.25	6706.000000000001	07-06-24 15:43:46.295391
250	1626.156	1645.388	1717767826.5842469	0.25	6707.0	07-06-24 15:43:46.584285
250	1626.308	1649.168	1717767826.874275	0.25	6708.0	07-06-24 15:43:46.874312
250	1625.556	1651.68	1717767827.1638317	0.25	6709.0	07-06-24 15:43:47.163851
250	1627.352	1651.276	1717767827.4534802	0.25	6710.0	07-06-24 15:43:47.453502
250	1627.996	1649.42	1717767827.74321	0.25	6711.000000000001	07-06-24 15:43:47.743247
250	1628.364	1648.32	1717767828.0302494	0.25	6712.0	07-06-24 15:43:48.030268
250	1628.308	1648.96	1717767828.3422804	0.25	6713.0	07-06-24 15:43:48.342299
250	1627.696	1648.332	1717767828.631782	0.25	6714.0	07-06-24 15:43:48.631807
250	1627.844	1646.784	1717767828.9206388	0.25	6715.0	07-06-24 15:43:48.920663
250	1628.964	1646.112	1717767829.2094283	0.25	6716.000000000001	07-06-24 15:43:49.209460
250	1628.672	1644.276	1717767829.496761	0.25	6717.0	07-06-24 15:43:49.496781
250	1628.076	1642.588	1717767829.7851975	0.25	6718.0	07-06-24 15:43:49.785233
250	1627.9	1641.76	1717767830.069927	0.25	6719.0	07-06-24 15:43:50.069964
250	1627.772	1641.508	1717767830.3557286	0.25	6720.0	07-06-24 15:43:50.355754
250	1626.984	1641.976	1717767830.645089	0.25	6721.000000000001	07-06-24 15:43:50.645112
250	1627.932	1644.024	1717767830.9335449	0.25	6722.0	07-06-24 15:43:50.933573
250	1627.824	1645.056	1717767831.2229247	0.25	6723.0	07-06-24 15:43:51.222942
250	1628.16	1645.216	1717767831.5109527	0.25	6724.0	07-06-24 15:43:51.510993
250	1628.356	1648.228	1717767831.8001568	0.25	6725.0	07-06-24 15:43:51.800180
250	1628.508	1649.768	1717767832.0897257	0.25	6726.000000000001	07-06-24 15:43:52.089746
250	1629.448	1652.056	1717767832.3799324	0.25	6727.0	07-06-24 15:43:52.379951
250	1629.22	1651.612	1717767832.6682777	0.25	6728.0	07-06-24 15:43:52.668324
250	1627.552	1650.272	1717767832.9581447	0.25	6729.0	07-06-24 15:43:52.958164
250	1626.04	1650.3	1717767833.2469356	0.25	6730.0	07-06-24 15:43:53.246956
250	1625.708	1649.748	1717767833.5363371	0.25	6731.000000000001	07-06-24 15:43:53.536360
250	1624.54	1650.468	1717767833.8248785	0.25	6732.0	07-06-24 15:43:53.824894
250	1626.132	1651.52	1717767834.1123478	0.25	6733.0	07-06-24 15:43:54.112363
250	1625.192	1653.428	1717767834.4008586	0.25	6734.0	07-06-24 15:43:54.400879
250	1626.724	1654.668	1717767834.690391	0.25	6735.0	07-06-24 15:43:54.690411
250	1627.364	1654.812	1717767834.9812655	0.25	6736.000000000001	07-06-24 15:43:54.981307
250	1627.804	1656.832	1717767835.2656531	0.25	6737.0	07-06-24 15:43:55.265698
250	1628.256	1657.332	1717767835.5559797	0.25	6738.0	07-06-24 15:43:55.556002
250	1628.856	1657.496	1717767835.8448958	0.25	6739.0	07-06-24 15:43:55.844919
250	1629.856	1655.464	1717767836.133617	0.25	6740.0	07-06-24 15:43:56.133645
250	1630.268	1653.5	1717767836.4231331	0.25	6741.000000000001	07-06-24 15:43:56.423155
250	1631.172	1652.052	1717767836.7124784	0.25	6742.0	07-06-24 15:43:56.712499
250	1631.04	1650.544	1717767837.0016675	0.25	6743.0	07-06-24 15:43:57.001705
250	1630.852	1649.256	1717767837.287766	0.25	6744.0	07-06-24 15:43:57.287782
250	1630.288	1648.784	1717767837.57487	0.25	6745.0	07-06-24 15:43:57.574898
250	1629.528	1648.76	1717767837.8631597	0.25	6746.000000000001	07-06-24 15:43:57.863196
250	1628.792	1649.196	1717767838.1520073	0.25	6747.0	07-06-24 15:43:58.152043
250	1628.428	1648.616	1717767838.440953	0.25	6748.0	07-06-24 15:43:58.440989
250	1628.36	1648.168	1717767838.7303417	0.25	6749.0	07-06-24 15:43:58.730358
250	1628.328	1646.512	1717767839.0176473	0.25	6750.0	07-06-24 15:43:59.017685
250	1629.744	1644.772	1717767839.3027403	0.25	6751.000000000001	07-06-24 15:43:59.302761
250	1628.48	1642.596	1717767839.5911832	0.25	6752.0	07-06-24 15:43:59.591200
250	1628.264	1641.64	1717767839.8795257	0.25	6753.0	07-06-24 15:43:59.879546
250	1628.056	1643.132	1717767840.1690595	0.25	6754.0	07-06-24 15:44:00.169081
250	1628.808	1644.64	1717767840.4572062	0.25	6755.0	07-06-24 15:44:00.457241
250	1628.108	1645.324	1717767840.7466664	0.25	6756.000000000001	07-06-24 15:44:00.746717
250	1627.408	1646.36	1717767841.036255	0.25	6757.0	07-06-24 15:44:01.036280
250	1626.704	1650.164	1717767841.32578	0.25	6758.0	07-06-24 15:44:01.325795
250	1626.148	1652.252	1717767841.6132212	0.25	6759.0	07-06-24 15:44:01.613236
250	1627.472	1654.596	1717767841.900128	0.25	6760.0	07-06-24 15:44:01.900158
250	1628.312	1655.036	1717767842.1890433	0.25	6761.000000000001	07-06-24 15:44:02.189066
250	1628.5	1654.896	1717767842.4781992	0.25	6762.0	07-06-24 15:44:02.478223
250	1627.84	1654.856	1717767842.7679727	0.25	6763.0	07-06-24 15:44:02.767998
250	1627.044	1654.98	1717767843.0569296	0.25	6764.0	07-06-24 15:44:03.056977
250	1626.928	1654.992	1717767843.3459814	0.25	6765.0	07-06-24 15:44:03.346005
250	1625.132	1654.196	1717767843.6358135	0.25	6766.000000000001	07-06-24 15:44:03.635851
250	1625.856	1653.36	1717767843.9261975	0.25	6767.0	07-06-24 15:44:03.926232
250	1626.484	1652.708	1717767844.2156048	0.25	6768.0	07-06-24 15:44:04.215642
250	1628.996	1653.28	1717767844.5075152	0.25	6769.0	07-06-24 15:44:04.507535
250	1630.072	1654.0	1717767844.796076	0.25	6770.0	07-06-24 15:44:04.796091
250	1628.66	1654.296	1717767845.084261	0.25	6771.000000000001	07-06-24 15:44:05.084284
250	1629.34	1655.244	1717767845.373612	0.25	6772.0	07-06-24 15:44:05.373654
250	1629.488	1655.448	1717767845.661014	0.25	6773.0	07-06-24 15:44:05.661033
250	1628.772	1654.484	1717767845.9461353	0.25	6774.0	07-06-24 15:44:05.946175
250	1629.324	1654.928	1717767846.235257	0.25	6775.0	07-06-24 15:44:06.235282
250	1627.08	1654.632	1717767846.5237827	0.25	6776.000000000001	07-06-24 15:44:06.523829
250	1626.412	1653.928	1717767846.8134532	0.25	6777.0	07-06-24 15:44:06.813491
250	1626.644	1652.18	1717767847.102419	0.25	6778.0	07-06-24 15:44:07.102446
250	1625.292	1650.82	1717767847.3911493	0.25	6779.0	07-06-24 15:44:07.391165
250	1627.272	1650.06	1717767847.6789672	0.25	6780.0	07-06-24 15:44:07.678994
250	1629.344	1649.74	1717767847.9687443	0.25	6781.000000000001	07-06-24 15:44:07.968768
250	1630.096	1649.124	1717767848.257461	0.25	6782.0	07-06-24 15:44:08.257480
250	1630.896	1651.04	1717767848.5471177	0.25	6783.0	07-06-24 15:44:08.547144
250	1630.008	1652.856	1717767848.8343718	0.25	6784.0	07-06-24 15:44:08.834416
250	1629.496	1652.8	1717767849.1239135	0.25	6785.0	07-06-24 15:44:09.123952
250	1629.812	1651.688	1717767849.4133654	0.25	6786.000000000001	07-06-24 15:44:09.413384
250	1628.772	1650.88	1717767849.7010958	0.25	6787.0	07-06-24 15:44:09.701141
250	1628.456	1649.184	1717767849.9903753	0.25	6788.0	07-06-24 15:44:09.990398
250	1627.564	1648.284	1717767850.2797437	0.25	6789.0	07-06-24 15:44:10.279767
250	1626.348	1647.644	1717767850.5694869	0.25	6790.0	07-06-24 15:44:10.569513
250	1625.58	1647.744	1717767850.8578377	0.25	6791.000000000001	07-06-24 15:44:10.857854
250	1624.252	1648.16	1717767851.1475034	0.25	6792.0	07-06-24 15:44:11.147540
250	1624.584	1650.06	1717767851.436993	0.25	6793.0	07-06-24 15:44:11.437020
250	1624.956	1651.936	1717767851.7264194	0.25	6794.0	07-06-24 15:44:11.726441
250	1624.9	1655.572	1717767852.015747	0.25	6795.0	07-06-24 15:44:12.015771
250	1625.448	1658.74	1717767852.3049552	0.25	6796.000000000001	07-06-24 15:44:12.304983
250	1623.932	1660.592	1717767852.5949392	0.25	6797.0	07-06-24 15:44:12.594980
250	1623.64	1659.564	1717767852.8845646	0.25	6798.0	07-06-24 15:44:12.884588
250	1625.22	1658.712	1717767853.1734736	0.25	6799.0	07-06-24 15:44:13.173496
250	1625.976	1657.736	1717767853.4628139	0.25	6800.0	07-06-24 15:44:13.462833
250	1627.628	1656.34	1717767853.7517858	0.25	6801.000000000001	07-06-24 15:44:13.751812
250	1628.892	1654.592	1717767854.0410085	0.25	6802.0	07-06-24 15:44:14.041028
250	1629.512	1655.42	1717767854.3306646	0.25	6803.0	07-06-24 15:44:14.330702
250	1627.392	1656.748	1717767854.6198616	0.25	6804.0	07-06-24 15:44:14.619888
250	1627.06	1658.844	1717767854.9086564	0.25	6805.0	07-06-24 15:44:14.908675
250	1626.7	1659.972	1717767855.198248	0.25	6806.000000000001	07-06-24 15:44:15.198268
250	1625.96	1661.024	1717767855.4876025	0.25	6807.0	07-06-24 15:44:15.487625
250	1625.948	1660.924	1717767855.7768695	0.25	6808.0	07-06-24 15:44:15.776904
250	1626.024	1661.716	1717767856.0654516	0.25	6809.0	07-06-24 15:44:16.065487
250	1626.744	1661.212	1717767856.3547568	0.25	6810.0	07-06-24 15:44:16.354783
250	1627.892	1662.0	1717767856.6428678	0.25	6811.000000000001	07-06-24 15:44:16.642892
250	1628.936	1662.776	1717767856.9305084	0.25	6812.0	07-06-24 15:44:16.930526
