# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	4.21647239e-10	-1.32266139e-10	2.8927983899999997e-10	0.0651462381	1713169755.8103714	0.1	15-04-24 10:29:15.810420
0	0	0	2.87317277e-10	7.35362205e-10	4.23654602e-10	0.0651534039	1713169756.5880458	0.1	15-04-24 10:29:16.588094
0	0	0	6.04485243e-10	1.98719591e-09	5.617619969999999e-10	0.0651590021	1713169757.3700716	0.1	15-04-24 10:29:17.370123
0	0	0	1.02240068e-09	1.07942438e-09	7.278716609999999e-11	0.0651632568	1713169758.144751	0.1	15-04-24 10:29:18.144807
0	0	0	1.36195697e-09	-7.20366569e-10	2.3702298699999997e-10	0.0651738562	1713169758.9255233	0.1	15-04-24 10:29:18.925581
0	0	0	-1.97763142e-10	9.017545420000001e-10	3.60199853e-10	0.0651741175	1713169759.7096438	0.1	15-04-24 10:29:19.709699
0	0	0	1.1306109299999999e-09	1.05400461e-09	4.79644086e-10	0.0651868069	1713169760.4863865	0.1	15-04-24 10:29:20.486442
0	0	0	1.5746460799999998e-09	1.74065153e-09	4.83376719e-10	0.0651828508	1713169761.2615144	0.1	15-04-24 10:29:21.261570
0	0	0	-1.2313538500000002e-10	-9.018851529999999e-10	5.09505145e-10	0.0651914348	1713169762.0400257	0.1	15-04-24 10:29:22.040074
0	0	0	1.38061763e-10	-8.92621258e-10	3.63932485e-10	0.0651900166	1713169762.8176544	0.1	15-04-24 10:29:22.817701
0	0	0	1.0821028899999999e-09	5.64584824e-10	3.9006091099999996e-10	0.065198414	1713169763.5997293	0.1	15-04-24 10:29:23.599784
0	0	0	1.11195399e-09	4.48898029e-10	2.85547207e-10	0.065198302	1713169764.375917	0.1	15-04-24 10:29:24.375971
0	0	0	1.14553648e-09	1.80826888e-10	2.70616678e-10	0.0652051319	1713169765.1515846	0.1	15-04-24 10:29:25.152176
0	0	0	3.58213646e-10	2.86936517e-10	2.70616678e-10	0.0652110661	1713169765.9372187	0.1	15-04-24 10:29:25.937266
0	0	0	5.11200547e-10	4.3793382e-10	2.70616678e-10	0.0652112154	1713169766.7136724	0.1	15-04-24 10:29:26.713727
0	0	0	5.63439977e-10	3.49143628e-10	3.37804059e-10	0.0652128948	1713169767.491953	0.1	15-04-24 10:29:27.492009
0	0	0	5.70902752e-10	2.82685243e-10	3.07943001e-10	0.0652165151	1713169768.2673304	0.1	15-04-24 10:29:28.267386
0	0	0	5.4105165e-10	-4.0508072400000004e-10	-2.2955605e-10	0.0652210683	1713169769.0411985	0.1	15-04-24 10:29:29.041250
0	0	0	2.9851144000000004e-10	1.4399532e-10	4.90841983e-10	0.0652262934	1713169769.8253937	0.1	15-04-24 10:29:29.825473
0	0	0	5.18663323e-10	2.3323325100000003e-10	3.45269324e-10	0.0652268532	1713169770.6050034	0.1	15-04-24 10:29:30.606015
0	0	0	4.4403556600000004e-10	5.64093129e-10	5.729598940000001e-10	0.0652311452	1713169771.3814297	0.1	15-04-24 10:29:31.381481
0	0	0	6.679188359999999e-10	1.21807059e-09	2.42629463e-11	0.0652405503	1713169772.158943	0.1	15-04-24 10:29:32.158994
0	0	0	9.888181900000001e-10	8.941474510000001e-10	1.32509283e-10	0.0652370047	1713169772.936352	0.1	15-04-24 10:29:32.936402
0	0	0	2.6119756199999996e-10	9.69645979e-10	4.0125880800000005e-10	0.0652487611	1713169773.7110875	0.1	15-04-24 10:29:33.711109
0	0	0	2.0522674399999998e-10	-8.24105637e-11	4.60980925e-10	0.0652469323	1713169774.487331	0.1	15-04-24 10:29:34.487378
0	0	0	3.58213646e-10	4.80628677e-10	6.66275701e-10	0.0652520828	1713169775.2719111	0.1	15-04-24 10:29:35.271960
0	0	0	5.55977201e-10	1.38401474e-10	3.41536691e-10	0.0652548072	1713169776.0508144	0.1	15-04-24 10:29:36.050864
